iter	TotalF1	MultiClass
273	0.6816408671	0.7251632238
274	0.6818663058	0.7249623908
275	0.6814647201	0.7248203282
276	0.6815069518	0.7245759302
277	0.6820251194	0.7245609841
278	0.6818866068	0.7246765691
279	0.681247312	0.7247380193
280	0.6815056729	0.7246520372
281	0.6821172641	0.7244109643
282	0.6816301534	0.7243390019
283	0.6817862394	0.7242332179
284	0.6819710798	0.7241045653
285	0.682108065	0.7240635243
286	0.6821045445	0.7241004335
287	0.6824140266	0.7238956682
288	0.6823706514	0.7238793416
289	0.6831415137	0.7230876216
290	0.6829817935	0.7227928702
291	0.6831430126	0.7227818677
292	0.6833813065	0.7228102529
293	0.6834363882	0.7226578411
294	0.6833153634	0.722428153
295	0.6836323341	0.7221389099
296	0.6840677965	0.7218845376
297	0.6838726126	0.7218484354
298	0.6842263275	0.7217865055
299	0.6834877569	0.7215440548
300	0.6839136453	0.7213938415
301	0.6834852458	0.7211536464
302	0.6840300876	0.7210916062
303	0.6846510975	0.7209090894
304	0.6845096514	0.720905098
305	0.6849454079	0.7207895594
306	0.6847971691	0.7206452691
307	0.684554864	0.7204347265
308	0.6846878075	0.7202360997
309	0.6849895642	0.7202521199
310	0.6851915134	0.7202317138
311	0.6847778024	0.7201758098
312	0.6846095955	0.7201746494
313	0.6849268544	0.7201113542
314	0.6852616467	0.7197453886
315	0.6852618064	0.7196646417
316	0.6853117295	0.7193678928
317	0.6850231068	0.7192127157
318	0.6848755139	0.7191739037
319	0.6850514978	0.7190512916
320	0.685907398	0.7186458445
321	0.685719705	0.7186516142
322	0.6859260209	0.7183610203
323	0.6861643453	0.7183111622
324	0.6863657832	0.7182920089
325	0.6858483494	0.7179619505
326	0.6864347319	0.7178542988
327	0.6866962046	0.7179171506
328	0.6866972223	0.7176932494
329	0.6873527336	0.7176403504
330	0.6873375448	0.7175486478
331	0.6874249922	0.7176157659
332	0.6872310734	0.7174619476
333	0.6869288783	0.7174148526
334	0.6876406703	0.7172807531
335	0.687171307	0.7172736486
336	0.6868298886	0.7171690384
337	0.6871012787	0.7172720826
338	0.686930123	0.7170059799
339	0.6869865751	0.7170355611
340	0.6874403519	0.7168260118
341	0.6876901667	0.7165646825
342	0.6878213249	0.71638029
343	0.6882741567	0.7161096911
344	0.6884362022	0.7160656395
345	0.6886337447	0.7157751449
346	0.6887042399	0.7157472695
347	0.6881680696	0.715588632
348	0.6879752913	0.7156994475
349	0.6879423523	0.71585161
350	0.6879639505	0.7158034734
351	0.6877301982	0.7157518446
352	0.6886286964	0.7153446871
353	0.6883153348	0.7150096284
354	0.6883316328	0.7150840606
355	0.6889560514	0.7149853913
356	0.68888954	0.7149598163
357	0.6885750376	0.7146506188
358	0.6886346598	0.7146450041
359	0.6882764532	0.7145475006
360	0.6876654477	0.7144622897
361	0.6879846229	0.7142686132
362	0.6879168974	0.7143966589
363	0.6877339168	0.7145358613
364	0.6878434179	0.714538841
365	0.687987067	0.7143820892
366	0.6887053366	0.7140035423
367	0.688658079	0.713938545
368	0.6888199578	0.7138165663
369	0.6892893279	0.713502757
370	0.6892561256	0.7135338714
371	0.6893628071	0.7134766705
372	0.6896823738	0.7132308796
373	0.6901070669	0.7129534095
374	0.6899064897	0.7128453702
375	0.6903662952	0.7129531641
376	0.6898840493	0.7129628226
377	0.6900400039	0.7130633295
378	0.6903872095	0.7131144085
379	0.690464447	0.7128624001
380	0.6903483605	0.7129693692
381	0.689947154	0.7128688148
382	0.6898487558	0.7126970879
383	0.6900230994	0.7127919764
384	0.6897852102	0.7126660597
385	0.6896407361	0.7126657601
386	0.6896475191	0.7123772849
387	0.6903309702	0.7120505281
388	0.690302413	0.7119219251
389	0.6906680355	0.711875653
390	0.689885047	0.7117914186
391	0.6898794821	0.711705717
392	0.6897689949	0.7116841251
393	0.6897354469	0.7114219933
394	0.6894560505	0.7114642164
395	0.6898983015	0.711244823
396	0.6903544728	0.7110989192
397	0.6898851763	0.7112412366
398	0.6904134749	0.71093679
399	0.6904980707	0.7109515508
400	0.6902411363	0.710686552
401	0.6904456819	0.7106717028
402	0.6903513731	0.7104562964
403	0.6900582055	0.7104853766
404	0.6897263948	0.7105467178
405	0.6902057869	0.7106483059
406	0.6903250142	0.710290204
407	0.690051219	0.7102857402
408	0.69037251	0.7103392245
409	0.6905635347	0.7101875631
410	0.6905013269	0.7099475868
411	0.6905433221	0.7098610162
412	0.6909370932	0.7098404155
413	0.6912253472	0.709844773
414	0.6914809203	0.709482718
415	0.6917358055	0.709485413
416	0.692159479	0.7094102781
417	0.6918772657	0.709464493
418	0.6922324995	0.709317391
419	0.6925869449	0.7093679843
420	0.6926221327	0.7089547372
421	0.6928696634	0.708817221
422	0.69261854	0.708788549
